Team Name,Year,Wins,Losses,OT Losses,win,Goals For(GF),Goals Against(GA),+ / -
Ottawa Senators,1996,31,36,,0.378(danger),226,234,-8(danger)
Philadelphia Flyers,1996,45,24,,0.549(success),274,217,57(success)
Phoenix Coyotes,1996,38,37,,0.463(danger),240,243,-3(danger)
Pittsburgh Penguins,1996,38,36,,0.463(danger),285,280,5(success)
San Jose Sharks,1996,27,47,,0.329(danger),211,278,-67(danger)
St. Louis Blues,1996,36,35,,0.439(danger),236,239,-3(danger)
Tampa Bay Lightning,1996,32,40,,0.39(danger),217,247,-30(danger)
Toronto Maple Leafs,1996,30,44,,0.366(danger),230,273,-43(danger)
Vancouver Canucks,1996,35,40,,0.427(danger),257,273,-16(danger)
Washington Capitals,1996,33,40,,0.402(danger),214,231,-17(danger)
Mighty Ducks of Anaheim,1997,26,43,,0.317(danger),205,261,-56(danger)
Boston Bruins,1997,39,30,,0.476(danger),221,194,27(success)
Buffalo Sabres,1997,36,29,,0.439(danger),211,187,24(success)
Calgary Flames,1997,26,41,,0.317(danger),217,252,-35(danger)
Carolina Hurricanes,1997,33,41,,0.402(danger),200,219,-19(danger)
Chicago Blackhawks,1997,30,39,,0.366(danger),192,199,-7(danger)
Colorado Avalanche,1997,39,26,,0.476(danger),231,205,26(success)
Dallas Stars,1997,49,22,,0.598(success),242,167,75(success)
Detroit Red Wings,1997,44,23,,0.537(success),250,196,54(success)
Edmonton Oilers,1997,35,37,,0.427(danger),215,224,-9(danger)
Florida Panthers,1997,24,43,,0.293(danger),203,256,-53(danger)
Los Angeles Kings,1997,38,33,,0.463(danger),227,225,2(success)
Montreal Canadiens,1997,37,32,,0.451(danger),235,208,27(success)
New Jersey Devils,1997,48,23,,0.585(success),225,166,59(success)
New York Islanders,1997,30,41,,0.366(danger),212,225,-13(danger)
New York Rangers,1997,25,39,,0.305(danger),197,231,-34(danger)
Ottawa Senators,1997,34,33,,0.415(danger),193,200,-7(danger)
Philadelphia Flyers,1997,42,29,,0.512(success),242,193,49(success)
Phoenix Coyotes,1997,35,35,,0.427(danger),224,227,-3(danger)
Pittsburgh Penguins,1997,40,24,,0.488(danger),228,188,40(success)
San Jose Sharks,1997,34,38,,0.415(danger),210,216,-6(danger)
St. Louis Blues,1997,45,29,,0.549(success),256,204,52(success)
Tampa Bay Lightning,1997,17,55,,0.207(danger),151,269,-118(danger)
Toronto Maple Leafs,1997,30,43,,0.366(danger),194,237,-43(danger)
Vancouver Canucks,1997,25,43,,0.305(danger),224,273,-49(danger)
Washington Capitals,1997,40,30,,0.488(danger),219,202,17(success)
Mighty Ducks of Anaheim,1998,35,34,,0.427(danger),215,206,9(success)
Boston Bruins,1998,39,30,,0.476(danger),214,181,33(success)
Buffalo Sabres,1998,37,28,,0.451(danger),207,175,32(success)
Calgary Flames,1998,30,40,,0.366(danger),211,234,-23(danger)
Carolina Hurricanes,1998,34,30,,0.415(danger),210,202,8(success)
Chicago Blackhawks,1998,29,41,,0.354(danger),202,248,-46(danger)
Colorado Avalanche,1998,44,28,,0.537(success),239,205,34(success)
Dallas Stars,1998,51,19,,0.622(success),236,168,68(success)
Detroit Red Wings,1998,43,32,,0.524(success),245,202,43(success)
Edmonton Oilers,1998,33,37,,0.402(danger),230,226,4(success)
Florida Panthers,1998,30,34,,0.366(danger),210,228,-18(danger)
Los Angeles Kings,1998,32,45,,0.39(danger),189,222,-33(danger)
Montreal Canadiens,1998,32,39,,0.39(danger),184,209,-25(danger)
Nashville Predators,1998,28,47,,0.341(danger),190,261,-71(danger)
New Jersey Devils,1998,47,24,,0.573(success),248,196,52(success)
New York Islanders,1998,24,48,,0.293(danger),194,244,-50(danger)
New York Rangers,1998,33,38,,0.402(danger),217,227,-10(danger)
Ottawa Senators,1998,44,23,,0.537(success),239,179,60(success)
Philadelphia Flyers,1998,37,26,,0.451(danger),231,196,35(success)
Phoenix Coyotes,1998,39,31,,0.476(danger),205,197,8(success)
Pittsburgh Penguins,1998,38,30,,0.463(danger),242,225,17(success)
San Jose Sharks,1998,31,33,,0.378(danger),196,191,5(success)
St. Louis Blues,1998,37,32,,0.451(danger),237,209,28(success)
Tampa Bay Lightning,1998,19,54,,0.232(danger),179,292,-113(danger)
Toronto Maple Leafs,1998,45,30,,0.549(success),268,231,37(success)
Vancouver Canucks,1998,23,47,,0.28(danger),192,258,-66(danger)
Washington Capitals,1998,31,45,,0.378(danger),200,218,-18(danger)
Mighty Ducks of Anaheim,1999,34,33,3,0.415(danger),217,227,-10(danger)
Atlanta Thrashers,1999,14,57,4,0.171(danger),170,313,-143(danger)
Boston Bruins,1999,24,33,6,0.293(danger),210,248,-38(danger)
Buffalo Sabres,1999,35,32,4,0.427(danger),213,204,9(success)
Calgary Flames,1999,31,36,5,0.378(danger),211,256,-45(danger)
Carolina Hurricanes,1999,37,35,0,0.451(danger),217,216,1(success)
Chicago Blackhawks,1999,33,37,2,0.402(danger),242,245,-3(danger)
Colorado Avalanche,1999,42,28,1,0.512(success),233,201,32(success)
Dallas Stars,1999,43,23,6,0.524(success),211,184,27(success)
Detroit Red Wings,1999,48,22,2,0.585(success),278,210,68(success)
Edmonton Oilers,1999,32,26,8,0.39(danger),226,212,14(success)
Florida Panthers,1999,43,27,6,0.524(success),244,209,35(success)
Los Angeles Kings,1999,39,27,4,0.476(danger),245,228,17(success)
Montreal Canadiens,1999,35,34,4,0.427(danger),196,194,2(success)
Nashville Predators,1999,28,40,7,0.341(danger),199,240,-41(danger)
New Jersey Devils,1999,45,24,5,0.549(success),251,203,48(success)
New York Islanders,1999,24,48,1,0.293(danger),194,275,-81(danger)
New York Rangers,1999,29,38,3,0.354(danger),218,246,-28(danger)
Ottawa Senators,1999,41,28,2,0.5(success),244,210,34(success)
Philadelphia Flyers,1999,45,22,3,0.549(success),237,179,58(success)
Phoenix Coyotes,1999,39,31,4,0.476(danger),232,228,4(success)
Pittsburgh Penguins,1999,37,31,6,0.451(danger),241,236,5(success)
San Jose Sharks,1999,35,30,7,0.427(danger),225,214,11(success)
St. Louis Blues,1999,51,19,1,0.622(success),248,165,83(success)
Tampa Bay Lightning,1999,19,47,7,0.232(danger),204,310,-106(danger)
Toronto Maple Leafs,1999,45,27,3,0.549(success),246,222,24(success)
Vancouver Canucks,1999,30,29,8,0.366(danger),227,237,-10(danger)
Washington Capitals,1999,44,24,2,0.537(success),227,194,33(success)
Mighty Ducks of Anaheim,2000,25,41,5,0.305(danger),188,245,-57(danger)
Atlanta Thrashers,2000,23,45,2,0.28(danger),211,289,-78(danger)
Boston Bruins,2000,36,30,8,0.439(danger),227,249,-22(danger)
Buffalo Sabres,2000,46,30,1,0.561(success),218,184,34(success)
Calgary Flames,2000,27,36,4,0.329(danger),197,236,-39(danger)
Carolina Hurricanes,2000,38,32,3,0.463(danger),212,225,-13(danger)
Columbus Blue Jackets,2000,28,39,6,0.341(danger),190,233,-43(danger)
Chicago Blackhawks,2000,29,40,5,0.354(danger),210,246,-36(danger)
Colorado Avalanche,2000,52,16,4,0.634(success),270,192,78(success)
Dallas Stars,2000,48,24,2,0.585(success),241,187,54(success)
Detroit Red Wings,2000,49,20,4,0.598(success),253,202,51(success)
Edmonton Oilers,2000,39,28,3,0.476(danger),243,222,21(success)
Florida Panthers,2000,22,38,9,0.268(danger),200,246,-46(danger)
Los Angeles Kings,2000,38,28,3,0.463(danger),252,228,24(success)
Minnesota Wild,2000,25,39,5,0.305(danger),168,210,-42(danger)
Montreal Canadiens,2000,28,40,6,0.341(danger),206,232,-26(danger)
Nashville Predators,2000,34,36,3,0.415(danger),186,200,-14(danger)
New Jersey Devils,2000,48,19,3,0.585(success),295,195,100(success)
New York Islanders,2000,21,51,3,0.256(danger),185,268,-83(danger)
New York Rangers,2000,33,43,1,0.402(danger),250,290,-40(danger)
Ottawa Senators,2000,48,21,4,0.585(success),274,205,69(success)
Philadelphia Flyers,2000,43,25,3,0.524(success),240,207,33(success)
Phoenix Coyotes,2000,35,27,3,0.427(danger),214,212,2(success)
Pittsburgh Penguins,2000,42,28,3,0.512(success),281,256,25(success)
San Jose Sharks,2000,40,27,3,0.488(danger),217,192,25(success)
St. Louis Blues,2000,43,22,5,0.524(success),249,195,54(success)
Tampa Bay Lightning,2000,24,47,5,0.293(danger),201,280,-79(danger)
Toronto Maple Leafs,2000,37,29,5,0.451(danger),232,207,25(success)
Vancouver Canucks,2000,36,28,7,0.439(danger),239,238,1(success)
Washington Capitals,2000,41,27,4,0.5(success),233,211,22(success)
Mighty Ducks of Anaheim,2001,29,42,3,0.354(danger),175,198,-23(danger)
Atlanta Thrashers,2001,19,47,5,0.232(danger),187,288,-101(danger)
Boston Bruins,2001,43,24,9,0.524(success),236,201,35(success)
Buffalo Sabres,2001,35,35,1,0.427(danger),213,200,13(success)
Calgary Flames,2001,32,35,3,0.39(danger),201,220,-19(danger)
Carolina Hurricanes,2001,35,26,5,0.427(danger),217,217,0(success)
Columbus Blue Jackets,2001,22,47,5,0.268(danger),164,255,-91(danger)
Chicago Blackhawks,2001,41,27,1,0.5(success),216,207,9(success)
Colorado Avalanche,2001,45,28,1,0.549(success),212,169,43(success)
Dallas Stars,2001,36,28,5,0.439(danger),215,213,2(success)
Detroit Red Wings,2001,51,17,4,0.622(success),251,187,64(success)
Edmonton Oilers,2001,38,28,4,0.463(danger),205,182,23(success)
Florida Panthers,2001,22,44,6,0.268(danger),180,250,-70(danger)
Los Angeles Kings,2001,40,27,4,0.488(danger),214,190,24(success)
Minnesota Wild,2001,26,35,9,0.317(danger),195,238,-43(danger)
Montreal Canadiens,2001,36,31,3,0.439(danger),207,209,-2(danger)
Nashville Predators,2001,28,41,0,0.341(danger),196,230,-34(danger)
New Jersey Devils,2001,41,28,4,0.5(success),205,187,18(success)
New York Islanders,2001,42,28,4,0.512(success),239,220,19(success)
New York Rangers,2001,36,38,4,0.439(danger),227,258,-31(danger)
Ottawa Senators,2001,39,27,7,0.476(danger),243,208,35(success)
Philadelphia Flyers,2001,42,27,3,0.512(success),234,192,42(success)
Phoenix Coyotes,2001,40,27,6,0.488(danger),228,210,18(success)
Pittsburgh Penguins,2001,28,41,5,0.341(danger),198,249,-51(danger)
San Jose Sharks,2001,44,27,3,0.537(success),248,199,49(success)
St. Louis Blues,2001,43,27,4,0.524(success),227,188,39(success)
Tampa Bay Lightning,2001,27,40,4,0.329(danger),178,219,-41(danger)
Toronto Maple Leafs,2001,43,25,4,0.524(success),249,207,42(success)
Vancouver Canucks,2001,42,30,3,0.512(success),254,211,43(success)
Washington Capitals,2001,36,33,2,0.439(danger),228,240,-12(danger)
Mighty Ducks of Anaheim,2002,40,27,6,0.488(danger),203,193,10(success)
Atlanta Thrashers,2002,31,39,5,0.378(danger),226,284,-58(danger)
Boston Bruins,2002,36,31,4,0.439(danger),245,237,8(success)
Buffalo Sabres,2002,27,37,8,0.329(danger),190,219,-29(danger)
Calgary Flames,2002,29,36,4,0.354(danger),186,228,-42(danger)
Carolina Hurricanes,2002,22,43,6,0.268(danger),171,240,-69(danger)
Columbus Blue Jackets,2002,29,42,3,0.354(danger),213,263,-50(danger)
Chicago Blackhawks,2002,30,33,6,0.366(danger),207,226,-19(danger)
Colorado Avalanche,2002,42,19,8,0.512(success),251,194,57(success)
Dallas Stars,2002,46,17,4,0.561(success),245,169,76(success)
Detroit Red Wings,2002,48,20,4,0.585(success),269,203,66(success)
Edmonton Oilers,2002,36,26,9,0.439(danger),231,230,1(success)
Florida Panthers,2002,24,36,9,0.293(danger),176,237,-61(danger)
Los Angeles Kings,2002,33,37,6,0.402(danger),203,221,-18(danger)
Minnesota Wild,2002,42,29,1,0.512(success),198,178,20(success)
Montreal Canadiens,2002,30,35,9,0.366(danger),206,234,-28(danger)
Nashville Predators,2002,27,35,7,0.329(danger),183,206,-23(danger)
New Jersey Devils,2002,46,20,6,0.561(success),216,166,50(success)
New York Islanders,2002,35,34,2,0.427(danger),224,231,-7(danger)
New York Rangers,2002,32,36,4,0.39(danger),210,231,-21(danger)
Ottawa Senators,2002,52,21,1,0.634(success),263,182,81(success)
Philadelphia Flyers,2002,45,20,4,0.549(success),211,166,45(success)
Phoenix Coyotes,2002,31,35,5,0.378(danger),204,230,-26(danger)
Pittsburgh Penguins,2002,27,44,5,0.329(danger),189,255,-66(danger)
San Jose Sharks,2002,28,37,8,0.341(danger),214,239,-25(danger)
St. Louis Blues,2002,41,24,6,0.5(success),253,222,31(success)
Tampa Bay Lightning,2002,36,25,5,0.439(danger),219,210,9(success)
Toronto Maple Leafs,2002,44,28,3,0.537(success),236,208,28(success)
Vancouver Canucks,2002,45,23,1,0.549(success),264,208,56(success)
